id,name,known_for_department,birthday,biography,d,name,known_for_department,birthday,biography
50,Catherine Deneuve,Acting,1943-10-22,Catherine Deneuve (born 22 October 1943) is a French actress.,500,Tom Cruise,Acting,1962-07-03,Thomas Cruise Mapother IV (born July 3 1962)
35,Sally Field,Acting,1946-11-06,Sally Margaret Field (born November 6 1946),65,Ian Holm,Acting,1931-09-12,From Wikipedia the free encyclopedia Sir Ian Holm Cuthbert CBE (12 September 1931 – 19 June 2020)
100,Scott Speedman,Acting,1975-09-01,Scott Speedman (born September 1 1975) is a British-born Canadian film and television actor.
